"","X","obs","Y"
"1",0.001,1,0.00196503842652231
"2",0.002,2,0.000340374518538568
"3",0.003,3,0.00109207901433023
"4",0.004,4,0.00881308432259818
"5",0.005,5,0.00195189755091944
"6",0.006,6,0.0122271220575274
"7",0.007,7,0.00792853157108074
"8",0.008,8,0.0134897810972781
"9",0.009,9,0.0240292918878976
"10",0.01,10,0.0187126654751533
"11",0.011,11,0.0176499114392813
"12",0.012,12,0.01791818776157
"13",0.013,13,0.0137013250736295
"14",0.014,14,0.00706364787439906
"15",0.015,15,0.0152700962853247
"16",0.016,16,0.0449296853511992
"17",0.017,17,0.0043827473374526
"18",0.018,18,0.0193709492714108
"19",0.019,19,-0.0189936054702848
"20",0.02,20,0.0185797257646847
"21",0.021,21,0.0383555709231128
"22",0.022,22,-0.0127466237347804
"23",0.023,23,0.0265891013385977
"24",0.024,24,0.0234749762020146
"25",0.025,25,-0.00786609055910201
"26",0.026,26,0.0180998957010928
"27",0.027,27,0.0497478189189858
"28",0.028,28,0.0182730660138441
"29",0.029,29,0.0385359069413025
"30",0.03,30,-0.0258298848247124
"31",0.031,31,0.03684839995699
"32",0.032,32,0.0520153760272188
"33",0.033,33,0.102977362964255
"34",0.034,34,0.0982998102763165
"35",0.035,35,0.0446867561138819
"36",0.036,36,0.082546110841872
"37",0.037,37,0.0831626917145107
"38",0.038,38,0.071451291014672
"39",0.039,39,0.00851553099570427
"40",0.04,40,0.0469370242239609
"41",0.041,41,0.0803416153631613
"42",0.042,42,-0.034821949918657
"43",0.043,43,0.0929074962281556
"44",0.044,44,0.0836275142307228
"45",0.045,45,0.0176682460933081
"46",0.046,46,-0.0184870868548784
"47",0.047,47,0.0609165018653946
"48",0.048,48,0.092721623841528
"49",0.049,49,0.0609362233206048
"50",0.05,50,0.0862572451869575
"51",0.051,51,0.0293244407032439
"52",0.052,52,0.105440490759936
"53",0.053,53,0.139195716573694
"54",0.054,54,0.00263024959719355
"55",0.055,55,0.00486947787543152
"56",0.056,56,0.0472100691004534
"57",0.057,57,0.022406225146692
"58",0.058,58,0.0269861574457978
