"read","cohort.size","class.size"
66,32,32
62.2900009155273,32,32
83.5,32,32
82.5899963378906,32,32
75.6999969482422,32,32
85.2300033569336,32,32
77.0999984741211,32,32
75.629997253418,32,32
73.9700012207031,32,32
84,33,33
76.370002746582,33,33
74.1399993896484,33,33
64.4400024414062,33,33
76.1600036621094,33,33
65.75,33,33
86.4800033569336,33,33
79.3899993896484,33,33
64,33,33
79.7900009155273,34,34
65.2200012207031,34,34
82.6900024414062,34,34
80,34,34
71.6500015258789,34,34
68.0299987792969,34,34
71.8199996948242,34,34
54,34,34
65,34,34
69.7600021362305,34,34
76.4499969482422,34,34
58.8400001525879,34,34
60.560001373291,35,35
68,35,35
84,35,35
65,35,35
52,35,35
74.7200012207031,35,35
73,35,35
74.2600021362305,35,35
78.3099975585938,35,35
78.0699996948242,35,35
72.2099990844727,35,35
51,36,36
83.3199996948242,36,36
64.5699996948242,36,36
85.0500030517578,36,36
64.1100006103516,36,36
54.0699996948242,36,36
77.6600036621094,36,36
58.0699996948242,36,36
67.8899993896484,36,36
71.7799987792969,37,37
75.4700012207031,37,37
78.379997253418,37,37
73.1800003051758,37,37
54.6699981689453,37,37
63.998420715332,37,37
63.6500015258789,37,37
60.6474990844727,37,37
78.6900024414062,37,37
70.1100006103516,38,38
66.8300018310547,38,38
75.3399963378906,38,38
56.560001373291,38,38
64.8499984741211,38,38
73.8899993896484,38,38
71,38,38
83.6500015258789,38,38
34.7999992370605,38,38
81.5100021362305,38,38
46.6699981689453,39,39
68.9400024414062,39,39
74.0800018310547,39,39
73.1100006103516,39,39
76.0899963378906,39,39
73.7099990844727,39,39
79.6399993896484,39,39
69.8899993896484,39,39
79.3899993896484,39,39
47.1800003051758,39,39
73.1461868286133,40,40
60.1800003051758,40,40
52.7700004577637,40,40
75.1999969482422,40,40
73.1500015258789,40,40
66.5999984741211,40,40
65.0500030517578,40,40
77.2900009155273,40,40
67.9700012207031,40,40
69.4100036621094,41,20.5
80.5299987792969,41,20.5
55.3199996948242,41,20.5
62.6800003051758,41,20.5
67.0454559326172,41,20.5
84.5699996948242,41,20.5
89.2699966430664,41,20.5
78.7200012207031,41,20.5
70.6999969482422,41,20.5
79.1800003051758,41,20.5
73.2900009155273,41,20.5
73.1100006103516,41,20.5
83.6100006103516,41,20.5
79.4700012207031,41,20.5
68.8499984741211,41,20.5
69.0500030517578,41,20.5
79.8300018310547,41,20.5
60.6699981689453,41,20.5
75.4300003051758,41,20.5
72.1520004272461,41,20.5
58.060001373291,41,20.5
82.0500030517578,41,20.5
85,41,20.5
70.1500015258789,41,20.5
77.8199996948242,41,20.5
62.2200012207031,41,20.5
71.8399963378906,41,20.5
82.9199981689453,41,20.5
79.0979995727539,42,21
82,42,21
63.8421058654785,42,21
78.3000030517578,42,21
66.7600021362305,42,21
74.5699996948242,42,21
68,42,21
76.7799987792969,42,21
64.1500015258789,42,21
71.5299987792969,42,21
75.7600021362305,42,21
52.7200012207031,42,21
69.629997253418,42,21
69.2799987792969,42,21
